Строка,Отрасль,Среднее,Станд.откл,Коэфф.вариации(%),Кол-во_листов
"Прибыль, смешанный доход","Сельское, лесное и рыбное хозяйство",,,,7
"Прибыль, смешанный доход",Строительство,,,,7
"Прибыль, смешанный доход","Профессиональная, научная и техническая деятельность",,,,7
"Прибыль, смешанный доход","Искусство, развлечения и отдых",,,,7
"Прибыль, смешанный доход",Финансовая и страховая деятельность,,,,7
"Прибыль, смешанный доход",Информация и связь,,,,7
"Прибыль, смешанный доход",Операции с недвижимым имуществом,,,,7
"Прибыль, смешанный доход",Транспорт и складирование,,,,7
"Прибыль, смешанный доход","Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",,,,7
"Прибыль, смешанный доход",Услуги по проживанию и питанию,,,,7
"Прибыль, смешанный доход",Деятельность в области административного и вспомогательного обслуживания,,,,7
"Прибыль, смешанный доход","Электроснабжение, подача газа, пара и воздушное кондиционирование",,,,7
"Прибыль, смешанный доход",Образование,,,,7
"Прибыль, смешанный доход",Обрабатывающая промышленность,,,,7
Доход (Оплата труда + Прибыль),Горнодобывающая промышленность и разработка карьеров,,,,7
Доход (Оплата труда + Прибыль),Здравоохранение и социальное обслуживание населения,,,,7
Доход (Оплата труда + Прибыль),Предоставление прочих видов услуг,,,,7
Доход (Оплата труда + Прибыль),Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,,,7
Доход (Оплата труда + Прибыль),Государственное управление и оборона; обязательное социальное обеспечение,,,,7
Доход (Оплата труда + Прибыль),"Сельское, лесное и рыбное хозяйство",,,,7
Доход (Оплата труда + Прибыль),Строительство,,,,7
Доход (Оплата труда + Прибыль),"Профессиональная, научная и техническая деятельность",,,,7
Доход (Оплата труда + Прибыль),"Искусство, развлечения и отдых",,,,7
Доход (Оплата труда + Прибыль),Финансовая и страховая деятельность,,,,7
Доход (Оплата труда + Прибыль),Информация и связь,,,,7
Доход (Оплата труда + Прибыль),Операции с недвижимым имуществом,,,,7
Доход (Оплата труда + Прибыль),Транспорт и складирование,,,,7
Доход (Оплата труда + Прибыль),"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",,,,7
Доход (Оплата труда + Прибыль),Услуги по проживанию и питанию,,,,7
Доход (Оплата труда + Прибыль),Деятельность в области административного и вспомогательного обслуживания,,,,7
Доход (Оплата труда + Прибыль),"Электроснабжение, подача газа, пара и воздушное кондиционирование",,,,7
Доход (Оплата труда + Прибыль),Образование,,,,7
Доход (Оплата труда + Прибыль),Обрабатывающая промышленность,,,,7
Импорт,Горнодобывающая промышленность и разработка карьеров,,,,7
Импорт,Здравоохранение и социальное обслуживание населения,,,,7
Импорт,Предоставление прочих видов услуг,,,,7
Импорт,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,,,7
Импорт,Государственное управление и оборона; обязательное социальное обеспечение,,,,7
Импорт,"Сельское, лесное и рыбное хозяйство",,,,7
Импорт,Строительство,,,,7
Импорт,"Профессиональная, научная и техническая деятельность",,,,7
Импорт,"Искусство, развлечения и отдых",,,,7
Импорт,Финансовая и страховая деятельность,,,,7
Импорт,Информация и связь,,,,7
Импорт,Операции с недвижимым имуществом,,,,7
Импорт,Транспорт и складирование,,,,7
Импорт,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",,,,7
Импорт,Услуги по проживанию и питанию,,,,7
Импорт,Деятельность в области административного и вспомогательного обслуживания,,,,7
Импорт,"Электроснабжение, подача газа, пара и воздушное кондиционирование",,,,7
Импорт,Образование,,,,7
Импорт,Обрабатывающая промышленность,,,,7
