Строка,Отрасль,Среднее,Станд.откл,Коэфф.вариации(%),Кол-во_листов
Использовано в ценах покупателя,Горнодобывающая промышленность и разработка карьеров,0.17952351338008252,0.009932748966483093,5.53284011629927,7
Использовано в ценах покупателя,Здравоохранение и социальное обслуживание населения,0.3794708733156916,0.014490166906301775,3.8185188706820803,7
Использовано в ценах покупателя,Предоставление прочих видов услуг,0.28922491995250754,0.032167005428659703,11.121795948268122,7
Использовано в ценах покупателя,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,0.26391134591624854,0.009193455338626031,3.483539256983497,7
Использовано в ценах покупателя,Государственное управление и оборона; обязательное социальное обеспечение,0.42910526248799835,0.007294895103232391,1.7000246188862396,7
Использовано в ценах покупателя,"Сельское, лесное и рыбное хозяйство",0.1589281698619889,0.014122412445350112,8.886034777606655,7
Использовано в ценах покупателя,Строительство,0.29334090455426703,0.036468084093016204,12.431980513740367,7
Использовано в ценах покупателя,"Профессиональная, научная и техническая деятельность",0.19687013969465134,0.02875000511989996,14.60353772516831,7
Использовано в ценах покупателя,"Искусство, развлечения и отдых",0.31835836775241705,0.027726436953780974,8.709190573355198,7
Использовано в ценах покупателя,Финансовая и страховая деятельность,0.2582646308153645,0.013224644931818701,5.120579186575923,7
Использовано в ценах покупателя,Информация и связь,0.23991770181627653,0.0049905687161334615,2.080116922741751,7
Использовано в ценах покупателя,Операции с недвижимым имуществом,0.04921350664193663,0.008174679380961421,16.610641953311813,7
Использовано в ценах покупателя,Транспорт и складирование,0.2039254417160596,0.012037836246202556,5.9030575807033046,7
Использовано в ценах покупателя,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.3485747394143125,0.02459389510646025,7.055558629344105,7
Использовано в ценах покупателя,Услуги по проживанию и питанию,0.266162264434366,0.02788028714528057,10.474921080390672,7
Использовано в ценах покупателя,Деятельность в области административного и вспомогательного обслуживания,0.27241901259032264,0.007031587690978698,2.5811662791514305,7
Использовано в ценах покупателя,"Электроснабжение, подача газа, пара и воздушное кондиционирование",0.31598804366301847,0.015339502920741545,4.854456751882729,7
Использовано в ценах покупателя,Образование,0.3995020076554467,0.008544763267870856,2.138853648825802,7
Использовано в ценах покупателя,Обрабатывающая промышленность,0.061790288939219305,0.0036184759247323557,5.856059239813086,7
Оплата труда,Горнодобывающая промышленность и разработка карьеров,0.7784023685623895,0.013245920671715714,1.7016804170546462,7
